,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Welfare of SCs/STs/OBCs/Minorities,550,497,460,466,424,371,301,287,284,245
Agriculture & Allied Activities,570,626,550,592,569,544,509,386,722,665
Rural Development,310,237,276,258,182,347,345,296,228,58
Irrigation & Flood Control,14,13,12,13,15,11,11,11,11,10
Energy,945,701,806,739,583,511,465,362,338,317
Industry & Minerals,75,78,77,79,76,86,100,87,149,123
Transport,502,267,222,"1,028",303,398,289,196,190,137
Ecology & Environment,2,2,1,1,1,1,1,0,0,0
Tourism,19,11,11,13,9,9,9,8,6,6
Civil Supplies,23,24,23,23,22,18,17,19,15,14
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),8,8,8,27,42,37,29,18,48,29
Others,"3,252","2,603","2,732","2,666","2,131","1,805","1,661","1,527","1,357","1,321"
Nagaland  (Total),"13,410","11,817","11,052","11,637","10,920","10,191","8,652","7,582","6,762","5,750"
Police,"1,838","1,652","1,532","1,697","1,522","1,313","1,259","1,156","1,069",988
Public Works,205,189,179,192,174,159,134,130,97,87
"Education, Sports, Art and Culture","2,089","1,899","1,714","1,595","1,807","1,482","1,292","1,229","1,064","1,030"
Health & Family Welfare,792,766,684,660,616,537,482,457,394,288
Water Supply and Sanitation,107,114,100,102,97,91,81,79,60,52
Housing & Urban Development,155,112,163,45,35,50,74,38,68,30
Social Welfare & Nutrition,294,309,266,298,241,237,239,170,145,179
Welfare of SCs/STs/OBCs/Minorities,64,26,56,24,50,46,27,27,25,22
Agriculture & Allied Activities,782,657,662,783,694,626,480,431,477,341
Rural Development,533,619,734,813,622,"1,356",811,324,278,85
Irrigation & Flood Control,37,33,31,31,31,28,27,28,62,85
Energy,764,637,619,585,490,451,432,373,344,297
Industry & Minerals,154,150,146,139,136,122,103,107,78,68
Transport,382,387,416,450,438,454,399,411,262,223
Ecology & Environment,2,1, -   , -   , -   , -   , -   , -   , -   , -   
Tourism,25,18,16,34,23,17,14,18,14,11
Civil Supplies,111,89,79,102,55,70,33,19,17,16
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Others,"5,078","4,156","3,654","4,086","3,890","3,152","2,766","2,587","2,309","1,948"
Odisha  (Total),"131,006","109,588","95,311","99,137","85,356","71,837","65,041","58,806","51,136","45,618"
Police,"4,042","3,765","3,359","3,294","3,101","2,972","2,514","2,318","2,182","1,775"
Public Works,"1,393","1,005",939,938,922,"1,028",988,953,847,746
"Education, Sports, Art and Culture","22,885","19,044","17,242","17,228","16,196","13,788","11,809","11,056","9,822","8,282"
Health & Family Welfare,"10,169","8,743","7,244","5,681","5,084","4,153","4,061","3,155","2,774","1,813"
Water Supply and Sanitation,"3,262","4,659","2,265","3,974","2,963","1,757","2,328","1,989","1,052",720
Housing & Urban Development,"3,517","2,537","2,579","2,871","2,146","2,097","1,227","1,097",841,865
Social Welfare & Nutrition,"7,160","6,692","5,338","6,571","5,442","4,154","3,884","3,631","3,448","3,968"
Welfare of SCs/STs/OBCs/Minorities,"2,932","2,486","2,113","2,458","2,747","2,218","1,985","1,857","1,429","1,330"
Agriculture & Allied Activities,"10,814","9,713","8,569","10,992","7,843","5,801","6,497","5,802","5,613","4,701"
Rural Development,"10,196","10,543","11,344","9,737","9,933","9,018","7,991","7,400","4,446","2,984"
Irrigation & Flood Control,"2,819","2,356","1,685","1,305","1,679","1,911","1,870","1,813","1,376","1,397"
Energy,57,27,38,57,268,45,84,53,45,22
Industry & Minerals,"1,381","1,154",757,746,785,679,488,486,375,306
Transport,"2,667","2,619","2,257","1,889","1,926","2,224","1,981","1,846","1,896","1,705"
Ecology & Environment,55,32,39,36,37,37,22,16,36,38
Tourism,261,145,123,89,85,76,50,40,35,38
Civil Supplies,24,34,41,18,19,36,30,31,6,35
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"1,584","1,513","1,330","1,434","1,363","1,263","1,012",916,817,892
Others,"45,787","32,521","28,049","29,820","22,818","18,581","16,219","14,347","14,096","14,001"
Punjab  (Total),"113,661","96,637","86,345","75,860","75,404","62,465","55,296","50,073","46,613","41,641"
Police,"7,895","7,022","6,138","5,848","5,582","5,248","4,742","4,490","4,238","3,853"
Public Works,496,561,384,298,354,421,429,368,470,380
"Education, Sports, Art and Culture","14,465","12,712","11,949","10,860","10,103","9,312","8,813","8,549","7,472","6,423"
Health & Family Welfare,"4,128","3,860","3,760","3,390","3,143","2,746","2,868","2,604","2,364","1,887"
Water Supply and Sanitation,863,410,511,455,342,360,358,340,316,304
Housing & Urban Development,456,108,532,346,616,404,410,565,761,259
Social Welfare & Nutrition,"7,301","5,578","3,350","3,127","2,757","1,771","1,623","1,529","1,426","1,231"
Welfare of SCs/STs/OBCs/Minorities,616,671,588,451,611,293,521,522,891,675
Agriculture & Allied Activities,"12,458","10,232","8,312","8,365","12,343","7,487","5,718","6,205","3,777","1,423"
Rural Development,858,561,628,451,436,322,261,469,855,705
Irrigation & Flood Control,"1,067","1,037","1,010","1,175","1,170","1,183","1,262","1,314","1,231","1,342"
Energy,"8,226","4,383","2,189","1,597","2,197","1,319","1,655",514,"2,506","4,816"
Industry & Minerals,"3,450","2,519","2,119","1,850",707,57,63,70,63,58
Transport,501,"1,055",878,860,741,552,505,633,484,672
Ecology & Environment,14,6,3,1,1,1,1,2,1,3
Tourism,7,5,5,3,5,4,101,48,2,3
Civil Supplies,341,340,234,187,225,210,591,446,258,457
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"3,812","3,859","5,971","3,210","2,265","1,301",918,706,604,530
Others,"46,706","41,719","37,786","33,385","31,806","29,472","24,458","20,699","18,894","16,622"
Rajasthan  (Total),"226,479","209,790","178,309","176,485","166,773","145,842","127,140","106,239","94,542","75,510"
Police,"7,787","7,067","6,284","6,066","6,104","4,660","4,436","3,975","3,682","3,058"
Public Works,45,132,124,56,74,59,152,136,75,79
"Education, Sports, Art and Culture","44,450","40,393","34,910","33,525","34,594","26,668","24,498","21,097","19,363","15,308"
Health & Family Welfare,"13,145","14,350","11,988","11,662","11,362","9,342","7,738","7,182","5,973","4,414"
Water Supply and Sanitation,"4,295","4,072","3,497","3,410","3,416","3,007","2,625","2,408","2,071","1,842"
Housing & Urban Development,"7,112","6,544","6,040","4,334","4,200","4,223","4,782","3,290","2,608","2,479"
Social Welfare & Nutrition,"16,093","14,475","11,842","9,935","7,743","6,275","5,848","5,280","5,485","5,125"
Welfare of SCs/STs/OBCs/Minorities,"2,115","1,786","1,552","1,755","1,501","1,328","1,100","1,018",965,"1,056"
Agriculture & Allied Activities,"9,762","12,091","12,050","10,316","8,376","5,114","5,140","4,021","3,989","3,522"
Rural Development,"15,901","16,464","11,747","12,605","11,374","15,015","11,140","12,198","10,405","4,990"
Irrigation & Flood Control,"2,268","2,158","1,997","1,795","1,697","2,057","1,942","1,813","1,719","1,672"
Energy,"24,518","22,648","14,267","22,750","21,207","23,456","16,852","11,019","9,118","7,220"
Industry & Minerals,656,440,268,402,271,348,445,325,242,272
Transport,"5,069","3,774","1,862","2,583","1,827","2,177","1,686","1,506","1,844","1,610"
Ecology & Environment,8,5,3,4,8,2,28,23,36,5
Tourism,211,43,27,50,82,135,96,75,24,26
Civil Supplies,"1,116",988,"1,277",658,494,319,517,310,833,891
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),0,0,0,0,0,0,0,0,0,249
Others,"71,926","62,360","58,575","54,581","52,443","41,657","38,116","30,564","26,109","21,692"
Sikkim  (Total),"7,631","6,669","6,369","6,185","5,227","4,152","3,788","3,645","3,731","3,458"
Police,526,478,442,456,358,284,272,260,242,222
Public Works,46,43,39,79,35,26,26,25,23,42
"Education, Sports, Art and Culture","1,374","1,285","1,251","1,327",995,844,769,773,729,646
Health & Family Welfare,592,560,458,386,316,238,209,194,199,161
Water Supply and Sanitation,70,65,63,64,60,38,39,40,28,22
Housing & Urban Development,143,168,257,195,371,195,129,68,179,210
Social Security & Welfare,216,148,152,135,113,86,68,80,63,53
Welfare of SCs/STs/OBCs/Minorities,234,113,73,59,70,35,29,31,27,26
Agriculture & Allied Activities,559,494,467,489,428,300,269,309,281,236
Rural Development,223,231,195,182,141,176,236,145,166,93
Irrigation & Flood Control,38,53,57,41,31,44,30,34,18,40
Energy,404,287,313,285,205,210,213,217,137,120
Industry & Minerals,75,59,47,48,38,70,32,33,40,30
Transport,347,322,229,320,228,184,142,125,142,128
Ecology & Environment,4,4,4,4,7,1,2,-16,1,1
Tourism,48,37,27,32,27,23,19,21,19,12
Civil Supplies,3,2,2,2,2,1,1,1,1,0
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),99,110,93,84,66,63,56,39,42,35
Others,"2,629","2,209","2,199","1,997","1,737","1,335","1,247","1,266","1,394","1,381"
Tamil Nadu  (Total),"279,964","254,030","236,402","210,435","197,201","167,874","153,195","140,993","128,828","109,825"
Police,"9,609","8,044","7,457","7,526","6,734","5,731","5,167","4,698","4,532","3,960"
Public Works,794,473,540,420,385,377,256,252,317,325
"Education, Sports, Art and Culture","44,560","38,185","38,000","38,239","32,984","28,707","26,034","25,016","24,244","21,156"
Health & Family Welfare,"16,245","16,494","14,867","11,512","11,758","10,029","7,954","7,765","6,901","5,431"
Water Supply and Sanitation,473,552,785,646,"1,069","1,562","1,337",544,520,639
Housing & Urban Development,"4,677","5,493","6,490","4,809","5,009","3,432","2,320","2,476","3,266","2,265"
Social Welfare & Nutrition,"16,230","14,255","12,430","12,408","11,791","10,841","11,060","12,363","11,784","11,540"
Welfare of SCs/STs/OBCs/Minorities,"3,626","2,997","4,231","4,390","4,343","3,597","3,587","3,102","2,621","2,834"
Agriculture & Allied Activities,"22,259","20,623","14,604","14,015","12,362","11,553","9,882","7,825","7,150","6,799"
Rural Development,"8,521","7,071","3,803","3,504","4,243","2,911","5,919","7,359","5,736",973
Irrigation & Flood Control,"2,491","2,178","1,895","1,853","1,601","1,589","1,413","1,398","1,376","1,274"
Energy,"17,584","15,141","16,577","8,733","7,675","8,428","6,301","3,920","3,514","1,868"
Industry & Minerals,"3,517","3,535","3,164","4,061","3,702","2,837","2,780","2,238","1,622","1,548"
Transport,"3,281","2,274","1,538","1,407","1,409","2,134","1,522","1,227","2,073","1,947"
Ecology & Environment,41,6,8,7,13,4,6,7,6,8
Tourism,37,24,28,33,27,25,23,24,24,18
Civil Supplies,"13,768","9,534","9,775","8,517","8,155","6,223","5,699","5,425","5,101","4,974"
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"19,926","19,489","15,796","15,688","14,880","11,470","12,466","10,732","9,980","9,175"
Others,"92,324","87,662","84,414","72,668","69,062","56,425","49,472","44,622","38,060","33,090"
Telangana  (Total),"153,407","136,803","123,212","108,798","97,083","85,365","81,432","75,896","50,673",
Police,"7,994","7,240","5,612","5,595","5,562","4,944","4,506","4,148","2,514",
Public Works,283,241,198,194,187,180,172,185,115,
"Education, Sports, Art and Culture","17,144","14,357","12,212","12,249","11,504","12,246","11,955","10,469","6,805",
Health & Family Welfare,"7,448","6,421","5,746","5,950","4,913","4,768","4,590","3,655","2,478",
Water Supply and Sanitation,"1,281","1,113",746,230,314,897,"1,187",874,779,
Housing & Urban Development,"4,584","2,920","4,371","2,626","2,905","2,067","1,343","2,308","1,336",
Social Welfare & Nutrition,"14,528","12,501","12,299","12,584","10,411","8,804","8,455","7,260","3,765",
Welfare of SCs/STs/OBCs/Minorities,"11,537","15,450","8,824","9,853","8,822","7,862","6,592","4,553","2,947",
Agriculture & Allied Activities,"18,729","19,555","17,591","15,422","12,600","6,560","6,122","6,476","5,826",
Rural Development,"6,039","4,790","5,393","3,745","2,857","3,790","6,549","4,749","3,536",
Irrigation & Flood Control,433,350,325,345,389,398,"2,033","3,158","2,820",
Energy,"17,679","11,162","9,984","5,222","4,983","4,391","4,594","4,440","3,186",
Industry & Minerals,"1,073","1,271",623,612,751,826,382,865,696,
Transport,"1,384","1,499","1,058",842,872,595,595,"1,362","1,173",
Ecology & Environment,1,1,1,1,1,1,2,1,3,
Tourism,35,57,22,20,24,31,43,76,59,
Civil Supplies,113,114,53,83,55,79,60,89,119,
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),-   , -   , -   , -   ,5,33,72,140,112,
Others,"43,123","37,761","38,154","33,225","29,928","26,893","22,181","21,088","12,404", -   
Tripura  (Total),"17,739","16,125","14,368","13,377","11,889","10,357","8,855","7,868","7,443","5,949"
Police,"1,589","1,452","1,384","1,333","1,254","1,148",927,853,760,665
Public Works,309,299,279,248,227,200,183,87,62,64
"Education, Sports, Art and Culture","2,362","2,319","2,387","2,584","2,437","2,183","1,835","1,664","1,503","1,137"
Health & Family Welfare,"1,051","1,083",875,848,799,644,536,498,544,304
Water Supply and Sanitation,218,223,204,204,176,169,155,175,99,88
Housing & Urban Development,"2,093","1,494",853,506,123,107,121,81,134,122
Social Welfare & Nutrition,"1,339",932,945,910,858,692,568,471,493,416
Welfare of SCs/STs/OBCs/Minorities,466,474,467,360,466,334,370,309,315,274
Agriculture & Allied Activities,808,842,761,706,733,630,620,572,561,425
Rural Development,998,914,807,702,397,365,314,197,249,153
Irrigation & Flood Control,65,72,77,69,58,57,54,50,53,41
Energy,124,79,80,94,29,65,92,87,76,44
Industry & Minerals,89,95,83,66,61,71,59,52,65,51
Transport,448,315,325,155,116,132,189,242,271,227
Ecology & Environment,0,0,0,1,0,1,1,1,1,1
Tourism,9,4,4,4,3,3,3,2,2,2
Civil Supplies,84,103,45,29,91,99,84,63,79,60
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),326,308,287,268,234,228,198,198,180,147
Others,"5,360","5,116","4,506","4,291","3,827","3,227","2,543","2,266","1,996","1,729"
Uttar Pradesh  (Total),"379,978","337,581","298,543","298,833","301,728","266,224","236,592","212,736","171,027","158,147"
Police,"23,633","22,639","18,887","19,329","16,350","13,963","12,196","10,792","10,345","9,073"
Public Works,"1,011","1,064",504,964,870,"1,455",512,697,670,659
"Education, Sports, Art and Culture","66,812","58,143","53,485","54,413","47,657","46,141","52,220","45,077","33,949","31,425"
Health & Family Welfare,"26,211","20,027","19,483","17,572","15,843","14,792","12,862","11,195","10,076","7,998"
Water Supply and Sanitation,962,"1,134","1,097",735,"1,419","1,155",481,795,191,134
Housing & Urban Development,"15,104","14,067","15,731","9,670","7,289","5,349","4,055","3,129","1,857","2,582"
Social Welfare & Nutrition,"21,778","16,464","13,131","13,152","11,814","10,056","13,897","11,721","11,404","10,500"
Welfare of SCs/STs/OBCs/Minorities,"3,221","3,388","3,947","5,301","5,211","4,687","4,171","4,511","1,765","5,547"
Agriculture & Allied Activities,"9,844","8,984","8,104","8,582","12,129","27,265","5,599","5,098","5,627","4,605"
Rural Development,"17,660","17,303","18,084","19,450","25,909","17,086","13,848","7,714","6,292","6,596"
Irrigation & Flood Control,"8,872","9,164","8,580","8,738","6,770","6,981","5,466","5,222","5,349","4,758"
Energy,"28,184","20,758","9,085","17,602","15,352","7,162","14,540","22,225","12,340","5,257"
Industry & Minerals,"5,121","4,730","1,618","2,683","2,025","1,308",673,"3,082","1,001",487
Transport,"5,877","5,173","9,672","5,237","4,532","4,125","4,826","3,573","3,173","3,375"
Ecology & Environment,9,9,11,8,6,5,9,10,10,4
Tourism,121,78,54,56,57,41,52,41,32,20
Civil Supplies,"2,294",59,45,44,69,46,37,33,31,26
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"18,000","16,500","14,208","14,500","12,100","11,555","10,642","10,140","10,931","9,696"
Others,"125,264","117,897","102,818","100,797","116,326","93,050","80,507","67,680","55,985","55,407"
Uttarakhand  (Total),"43,773","38,929","37,091","32,859","32,196","29,083","25,272","23,086","21,164","16,216"
Police,"2,113","1,967","1,811","1,771","1,779","1,613","1,403","1,148","1,070",909
Public Works,481,467,454,469,480,456,387,362,347,309
"Education, Sports, Art and Culture","9,354","8,332","8,013","7,588","7,283","6,454","5,366","4,932","4,718","4,068"
Health & Family Welfare,"3,693","2,706","2,316","2,003","1,909","1,555","1,390","1,323","1,245",899
Water Supply and Sanitation,609,470,400,411,435,443,599,447,786,478
Housing & Urban Development,312,108,637,116,143,176,231,260,55,70
Social Welfare & Nutrition,"2,615","1,885","1,740","1,681","1,563","1,341","1,297","1,226","1,127",676
Welfare of SCs/STs/OBCs/Minorities,176,180,237,206,206,246,163,216,336,252
Agriculture & Allied Activities,"2,901","3,058","2,716","2,264","2,485","2,132","1,775","1,586","1,550","1,013"
Rural Development,"2,184","1,672","1,581","1,396","1,478","1,266","1,248","1,614","1,502",357
Irrigation & Flood Control,501,452,431,424,428,407,360,358,357,319
Energy,17,14,21,13,12,12,18,19,5,7
Industry & Minerals,248,223,174,177,155,108,93,68,58,54
Transport,572,557,497,302,312,236,315,214,274,225
Ecology & Environment,1,1,0, -   , -   , -   , -   , -   , -   , -   
Tourism,123,81,69,59,65,59,41,49,68,56
Civil Supplies,32,9,6,6,7,5,5,4,4,3
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"2,041","1,540","1,932","1,717","1,459","1,469",906,767,681,668
Others,"15,799","15,207","14,056","12,255","11,997","11,102","9,673","8,493","6,981","5,853"
West Bengal  (Total),"222,839","210,160","177,921","162,575","156,374","141,077","133,918","118,827","103,652","91,797"
Police,"9,545","9,375","8,783","7,227","6,223","5,356","5,182","4,886","4,371","3,939"
Public Works,661,635,643,601,595,652,536,500,463,430
"Education, Sports, Art and Culture","41,147","37,448","35,649","31,879","28,365","24,614","23,474","20,919","20,607","18,097"
Health & Family Welfare,"14,672","15,678","11,928","10,181","8,440","7,925","7,021","6,020","5,310","4,276"
Water Supply and Sanitation,"1,408","1,492","1,087","1,065","1,285","1,296","2,002","2,041","1,333","1,051"
Housing & Urban Development,"10,725","8,208","6,128","5,619","6,606","6,186","5,604","4,806","3,948","4,346"
Social Welfare & Nutrition,"41,022","32,907","16,199","20,133","20,008","16,086","15,224","10,398","6,692","8,710"
Welfare of SCs/STs/OBCs/Minorities,"4,400","4,190","3,336","1,770","2,397","2,200","1,638","1,951","1,119",828
Agriculture & Allied Activities,"9,368","8,099","4,603","4,586","7,911","3,730","3,265","3,523","2,416","2,031"
Rural Development,"11,211","14,481","17,165","16,739","15,301","18,162","12,838","15,451","12,565","4,244"
Irrigation & Flood Control,"1,299","1,193","1,058","1,143","1,207","1,055",975,945,952,987
Energy,"1,980","1,582","1,381","1,037","1,991","2,158","4,620","1,066",354,"1,030"
Industry & Minerals,389,329,290,264,337,304,"1,127",990,720,751
Transport,"1,696","1,616","1,725","1,760","1,777","1,714","1,580","1,272","1,406","1,442"
Ecology & Environment,7,19,8,26,41,27,34,38,23,11
Tourism,46,54,-3,78,150,102,79,70,43,41
Civil Supplies,106,104,139,67,78,68,84,76,62,52
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),408,354,450,450,489,488,564,776,627,618
Others,"72,749","72,395","67,352","57,949","53,173","48,953","48,071","43,099","40,641","38,913"
